,CrimeType,DateTime,CaseNumber,Description,PoliceBeat,Address,City,State,Lat,Long,Zip
2123,MOTOR VEHICLE THEFT,2018-01-20 00:00:00,18-003600,VEHICLE THEFT - AUTO,07X,800 27TH ST,Oakland,CA,37.8175473,-122.2741787,94607
2124,THEFT/LARCENY,2018-01-19 16:30:00,18-003676,PETTY THEFT:$50-,08X,3000 RICHMOND BLVD,Oakland,CA,37.8179747,-122.2603705,94611
2125,BURGLARY,2018-01-10 14:55:00,18-001691,BURGLARY-FORCIBLE ENTRY,10Y,600 45TH ST,Oakland,CA,37.833589,-122.2674926,94609
2126,THEFT/LARCENY,2018-01-09 16:30:00,18-001692,THEFT,14Y,400 WELDON AV,Oakland,CA,37.81633619999999,-122.2454979,94610
2127,VANDALISM,2018-02-14 21:30:00,18-006866,VANDALISM,30X,1900 82ND AV,Oakland,CA,37.7582479,-122.1737402,94621
2128,ASSAULT,2018-01-10 16:11:00,18-001695,BATTERY,32Y,10000 MACARTHUR BLVD,Oakland,CA,37.7459872,-122.1556894,94605
2129,DRUGS/ALCOHOL VIOLATIONS,2018-01-21 07:56:00,18-003682,POSSESS/PURCHASE COCAINE BASE FOR SALE,08X,600 23RD ST,Oakland,CA,37.8133643,-122.27145,94612
2130,ROBBERY,2018-02-09 03:39:00,18-007223,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",19X,500 INTERNATIONAL BLVD,Oakland,CA,37.7959095,-122.2535125,94606
2131,ROBBERY,2018-02-09 05:20:00,18-007227,ROBBERY-FIREARM,14Y,500 VALLE VISTA AV,Oakland,CA,37.814352,-122.2473149,94610
2132,DRUGS/ALCOHOL VIOLATIONS,2018-02-09 07:58:00,18-007236,POSSESS CONTROLLED SUBSTANCE FOR SALE,19X,1900 INTERNATIONAL BLVD,Oakland,CA,37.7865518,-122.2407829,94606
2133,ASSAULT,2018-02-09 07:58:00,18-007255,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,18Y,2100 23RD AV,Oakland,CA,37.78867830000001,-122.2313827,94606
2134,ASSAULT,2018-02-09 10:22:00,18-007257,THREAT CRIME:INT:TERRORIZE,08X,300 30TH ST,Oakland,CA,37.8195212,-122.2665822,94609
2135,MOTOR VEHICLE THEFT,2018-02-09 05:30:00,18-007267,VEHICLE THEFT - AUTO,04X,100 17TH ST,Oakland,CA,37.8037418,-122.2612152,94612
2136,ASSAULT,2018-01-10 02:00:00,18-001604,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,19X,1100 6TH AV,Oakland,CA,37.7936746,-122.2545402,94606
2137,ASSAULT,2018-02-09 20:15:00,18-007349,BATTERY,24X,2400 34TH AV,Oakland,CA,37.7860249,-122.2177679,94601
2138,ASSAULT,2018-01-20 17:56:00,18-003602,BATTERY,24Y,2600 SHORT ST,Oakland,CA,37.786409,-122.2085497,94619
2139,ASSAULT,2018-01-20 18:15:00,18-003604,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,03X,7TH ST & BROADWAY,Oakland,CA,37.7995394,-122.2742401,94607
2140,ASSAULT,2018-01-20 19:13:00,18-003609,FORCE/ADW-KNIFE:GBI,24X,1900 41ST AV,Oakland,CA,37.7765341,-122.2138332,94601
2141,ROBBERY,2018-01-08 13:30:00,18-001614,ROBBERY-FIREARM,19X,1700 INTERNATIONAL BLVD,Oakland,CA,37.787847,-122.2427443,94606
2142,DRUGS/ALCOHOL VIOLATIONS,2018-02-09 14:47:00,18-007319,POSSESS CONTROLLED SUBSTANCE FOR SALE,19X,1900 E 15TH ST,Oakland,CA,37.7873092,-122.2399301,94606
2143,MOTOR VEHICLE THEFT,2018-01-20 21:30:00,18-003670,VEHICLE THEFT - AUTO,14Y,00 MOSS AV,Oakland,CA,37.8181263,-122.250512,94610
